3512.5,9.00,334.5,245.0,92.1,334.6,245.0,91.9,25.7,21.5,323.6,55.0,1.55,2693.2,89.3,1.5,87,85.66,,131
3289.8,9.53,199,271,95.95,199,272.3,94.64,,103.9,264.3,47.6,1,2223,80,1.1,94,92.77,,139
3512.5,7.94,335.0,249.0,96.2,334.4,249.0,95.3,21.0,20.6,245.0,42.8,1.82,1911.4,70.8,1.8,87,85.66,,135
3288.6,11.11,217.2,293.9,93.1,215,293.9,93.3,,104.6,387.68,72,1.5,3454,123,1.6,90.8,89.61,,145
3512.5,9.53,327.4,242.0,92.1,326.0,242.0,95.4,29.8,28.9,339.0,58.7,3.23,2918.6,95.4,3.3,89,87.54,,133
3288.6,7.94,231.23,309.1,92.6,230,307.1,92.7,,104.4,215.8,50.5,0.45,1759,84.7,0.4,89.9,88.72,,182
3512.5,12.70,315.9,221.0,98.7,316.2,221.0,90.5,44.1,42.9,529.8,88.6,1.86,4705.6,145.4,1.9,95,93.46,,129
3284,14.29,198,293.6,98.5,197,293.9,98.4,49.8,104.63,568.5,106.6,6.4,5113,174.3,6.5,94,92.77,,147
3512.5,14.29,306.5,206.0,94.5,311.7,206.0,94.2,47.1,46.7,603.3,104.9,2.34,5652.1,164.6,2.3,90,89.22,,133
3284,12.7,215,307.8,98.6,215,308.1,97.2,45.8,104.78,479.09,93.5,4.7,4165,156.8,4.8,94.4,93.17,,153
3518.5,7.94,283.3,210.0,89.0,282.6,210.0,89.2,24.7,25.3,201.9,38.2,1.46,1695.3,62.0,1.5,92,90.50,,147
3284,11.11,229,318,98,228,318.3,98.9,41.4,104.85,409.23,86.3,3.5,3583,143.9,3.5,91,89.81,,165
3518.5,9.53,278.6,205.0,91.9,276.2,205.0,91.5,34.2,34.0,281.8,42.8,04.06,2513.1,69.5,4.1,90,88.33,,118
3284,9.53,240,328.1,91.2,240,328.4,91.4,34.9,104.84,312.61,72.7,1.9,2750,119.2,2,88.9,87.74,,182
3518.5,11.11,275.6,196.0,92.2,267.8,196.0,91.5,41.0,40.5,358.7,48.0,5.53,3325.8,77.7,5.7,89,88.23,,104
3284,7.94,241.12,335.2,88.7,241,335.5,89,27,104.68,215.34,55.4,1.1,1773,93.1,1.1,89.7,88.53,,201
3518.5,12.70,262.2,186.0,93.1,259.4,186.0,86.9,45.8,45.3,418.5,51.1,06.03,3961.2,82.0,6.2,93,91.29,,96
3276,14.3,220,337.88,99.8,220,337.7,99.3,51.8,105.16,653.25,154.7,2.3,5733,264.3,2.4,98.5,97.21,,186
3518.5,14.29,252.9,170.2,89.2,248.2,170.0,90.2,48.7,48.5,502.8,54.7,8.38,5080.0,86.2,8.5,85,84.09,,85
3276,12.7,237.4,347.44,95.7,238,347.5,95.8,47.5,105.23,562.2,142,2.1,5012,235.7,2,94.2,92.97,,198
3520.6,9.53,251.0,183.0,96.4,251.1,183.0,96.4,36.2,36.2,250.5,38.0,0.62,2102.4,62.0,0.6,96,94.74,,117
3276,11.11,252,357.12,97,252,357,96.9,42.8,105.24,452.11,117.6,1.4,3869,196.7,1.4,95.3,94.05,,204
3520.6,11.1,247.6,175.6,99.3,246.0,175.0,99.3,42.5,42.5,320.6,43.0,0.69,2784.7,70.7,0.7,96,94.25,,103
3276,9.53,262,364.68,94.9,262,364.6,94.9,36.3,105.18,350.09,94.4,1.4,2970,154.5,1.4,93.5,92.28,,212
3520.6,12.7,241.7,168.1,101.1,240.0,167.0,101.3,47.4,47.1,379.9,45.4,4.36,3320.0,73.6,4.2,97,95.93,,92
3276,7.5,268,370.04,95,268,370.1,95.4,28.6,104.98,246.61,69.9,1.2,1967,114.7,1.1,94.3,93.07,,222
3520.6,14.29,235.7,157.0,105.4,232.4,157.0,105.4,52.5,52.2,442.0,50.4,05.01,3893.3,82.9,7.2,97,95.73,,88
3277.8,14.3,239.13,345.9,105.8,239.13,354.6,104,,106.7,648.1,158,1.8,4726,232.4,1.7,103.1,101.75,,192
3608.5,8,328.5,247.9,89.9,329.0,246.0,89.9,21.7,,237.8,45.1,03.07,1988.8,72.2,3.1,88,87.24,2.64,147.49
3608.5,9.53,316.0,230.0,91.4,316.5,230.0,91.5,30.0,,319.6,57.9,3.31,2793.5,95.7,3.5,88,87.24,3.52,139.69
3608.5,11.11,300.8,214.0,94.1,301.3,214.0,94.0,38.0,,393.4,72.9,02.08,3543.7,114.1,2.1,93,91.69,4.331,144.16933
3608.5,12.7,284.5,196.6,93.8,285.0,196.0,92.6,43.0,,470.2,78.7,1.72,4308.3,129.2,1.8,92,90.99,05.09,130.04
3608.5,14.29,269.9,179.0,94.6,288.0,179.0,94.5,47.3,,524.0,83.8,1.96,4932.5,135.0,2.1,93,91.88,5.63,123.3
3612.5,9.53,288.8,204.0,90.1,289.7,204.0,90.4,32.4,32.6,286.5,48.5,0.69,2579.5,75.4,0.7,89,87.54,3.063,131.2
