ГлубинаМанометра	Dшт	Руст	Рзаб	Pлин	РустКР	РзабКР	PлинКР	Туст	ТНаШлейфе	Тзаб	Tлин	ДебитГазаСУ	ДебитСтКонд	ДебитВодыСУ	ДебитГазаЛУ	ДебитКонНест	ДебитВодыЛУ	Нэф	РплТекПТ	РплТекР	РплТекКарноухов	PсбАтм	PсбБар	Rog	Roc	Row	УдельнаяПлотностьГаза	Gtotal	КГФ
3521.5	12.7	345.7	247.6	92.4	358.1	243.0	91.4	57.0	37.4	37.0	109.3	627.5	79.5	3.91	5742.4	126.4	4.2	20.2	46.3	53.0	54.7				791		0.642		100
3521.5	14.29	315.8	217.8	84.6	316.4	210.0	83.9	52.0	39.3	39.0	109.1	680.4	76.5	5.03	6942.0	126.0	5.7	20.2	46.3	53.0	54.7			791		0.642		89
3518.0	7.94	434.0	339.0	92.8	434.0	339.0	93.5	51.0	18.2	18.2	109.9	343.1	39.9	0.39	2770.6	60.1	0.4	20.2	45.8	52.9	52.9				792		0.643		92
3518.0	9.5	406.7	310.0	97.7	406.6	310.0	96.0	59.0	28.6	27.8	109.9	455.0	44.8	0.76	3758.7	74.8	0.8	20.2	45.8	52.9	52.9	89	87.84		792		0.643		78
3518.0	11.1	376.0	282.9	94.7	376.0	283.0	94.8	64.0	34.8	34.4	109.7	542.2	57.5	1.85	4860.5	86.2	1.8	20.2	45.8	52.9	52.9	92	90.80		792		0.643		84
3518.0	12.7	342.3	247.7	96.7	342.2	245.0	96.8	67.0	41.9	41.8	109.4	626.1	65.7	2.61	5755.1	102.5	2.7	20.2	45.8	52.9	52.9	88	87.05		792		0.643		83
3518.0	14.29	314.1	221.0	96.8	314.0	221.0	97.3	68.0	46.4	46.0	109.1	661.4	80.6	3.56	6179.5	117.8	3.5	20.2	45.8	52.9	52.9	90	88.63		792		0.643		97
3518.5	9.53	210.0	161.8	98.3	209.3	161.0	99.4	46.0	31.8	31.8	107.4	232.5	24.1	3.24	1907.2	36.7	3.4	44.2	28.1	 	 	89	87.34		779.8		0.653		81
3518.5	11.1	201.5	149.8	100.2	197.2	149.0	100.3	48.0	39.4	39.2	107.3	290.6	13.3	3.18	2396.7	21.8	3.3	44.2	28.1	 	 	92	91.19		779.8		0.653		36
3518.5	12.7	190.0	140.5	101.1	186.6	140.0	101.7	49.0	42.9	42.5	107.1	320.6	8.5	2.57	2651.0	13.9	2.8	44.2	28.1	 	 	93	91.59		779.8		0.653		21
3518.5	9.5	 	135.0	97.8	 	135.0	93.6	42.0	32.8	 	 	176.6	15.6	0.2	1485.1	24.0	0.2	44.2	 	 	 	93	92.08		767.2		0.65		68
3517.0	9.53	310.5	246.2	90.8		250.0	94.4	49.0	21.8	22.2	101.4	353.9	50.9	2.65	2924.0	81.0	3.0	39.5	 	 	 				782		0.659		112
3517.0	11.11	289.4	222.1	105.5		220.0	110.7	74.0	30.6	29.0	101.9	438.6	55.7	2.28	3210.5	98.0	3.0	39.5	 	 	 				782		0.659		99
3517.0	12.7	230.9	176.0	82.6		170.0	80.0	52.0	32.9	32.8	101.4	454.4	44.4	2.51	4535.2	77.0	3.0	39.5	 	 	 				782		0.659		76
3517.0	7.94	412.8	320.3	108.8	412.7	317.2	105.9	48.0	20.6	20.0	110.4	323.4	49.5	0.31	2207.2	91.4	0.4	39.5	44.9	53.7	53.2	92	90.80		788		0.659		121
3517.0	9.5	365.0	277.5	100.8	364.9	269.0	97.6	55.0	27.5	27.2	110.2	399.4	57.9	0.27	3138.4	90.0	0.3	39.5	44.9	53.7	53.2	90	89.22		788		0.659		114
3517.0	11.1	319.3	236.7	98.4	319.3	231.0	98.6	59.0	34.6	34.4	109.8	447.0	63.4	0.38	3819.4	99.4	0.4	39.5	44.9	53.7	53.2	89	87.64		788		0.659		112
3517.0	12.7	276.4	197.1	99.0	276.4	194.0	99.5	60.0	41.0	40.8	109.1	487.2	65.4	0.58	4319.1	98.5	0.6	39.5	44.9	53.7	53.2	89	87.74		788		0.659		106
3517.0	14.29	242.8	168.6	99.4	242.8	165.0	99.0	59.0	45.4	45.4	108.3	500.5	58.8	0.59	4526.2	88.9	0.6	39.5	44.9	53.7	53.2	89	88.23		788		0.659		93
3517.0	15.87	223.8	150.3	98.9	223.8	148.0	99.0	58.0	47.2	47.0	107.8	482.5	52.2	0.52	4411.2	76.4	0.5	39.5	44.9	53.7	53.2	89	88.03		788		0.659		85
3517.0	9.5	 	130.0	99.0	 	130.0	98.4	38.0	29.7	 	 	152.3	21.9	0.2	1240.7	34.0	0.2	39.5	 	 	 	92	90.40		775.8		0.65		112
3517.0	9.5	 	129.0	99.7	 	129.0	96.6	35.0	28.8	 	 	152.6	19.8	0.2	1224.9	30.0	0.2	39.5	 	 	 	93	91.69		775.8		0.65		101
